书本名字,作者,状态,类型,点击,字数,收藏数
遇见你,Bottle,连载,青春校园,7485,29704,2
干一票大的,酉时三刻,完结,悬疑推理,7481,178643,5
我用余生回答,素履以往,连载,都市爱情,7372,10976,3
皇后黄花菜,我爱吃肉不吃菜,连载,古代言情,7369,12128,15
完美爱情标本店,殷小棠,连载,都市爱情,7351,113757,3
浮巷旧人,我是心语,连载,都市爱情,7341,25228,1
异界神尊至霸苍穹崛起录,简氏南风瑾,连载,奇幻空间,7336,32783,1
更生,莨昏昏,连载,玄幻言情,7323,30145,0
沉默恋人,白金金,连载,青春校园,7298,7477,37
宋你一片赤诚,宇文伽画,连载,青春校园,7270,35678,1
嫌疑人的告白,苑子文,连载,悬疑推理,7780,134555,14
你可能是个假爱豆,W吴白,连载,娱乐明星,7776,26026,1
I come from the moon,丝芍,完结,青春校园,7647,29980,9
确认过眼神，遇上对的人,许七年,完结,都市爱情,7634,92419,13
一念之间,允凡,连载,推理破案,7589,7634,3
芙美的梦幻之恋,海明,连载,都市爱情,7578,68749,0
重生校园：恶魔校草很嚣张,水千湫,连载,青春校园,7574,1439,26
蜜糖水,朝歌夜弦,连载,都市爱情,7539,22996,2
岁月不回首,伍月,连载,都市爱情,7516,80077,1
青春典当铺,印象九州,连载,青春校园,7511,26574,5
蜗牛爱情,听夜,连载,都市爱情,8085,19819,1
我宁愿从未认识你,颜汐说,连载,都市爱情,8067,53775,0
换种方式来爱你,艾海,连载,都市爱情,8025,65692,0
时光浅处,芥子九,连载,校园甜宠,8025,30487,1
有梦初见青梅竹马两小无猜,童童,连载,校园甜宠,8000,20099,3
晚安，人类：阿郎看电影私享笔记,阿郎,完结,励志人生,7969,75815,1
女皇：权倾天下,狐狸坐在沙丘上,连载,时空穿越,7855,13947,0
爱哭鬼的差脾气男孩,不哭的小猫,连载,青春校园,7840,17784,0
何草不黄,余鲸落,连载,古代言情,7819,11536,11
观月天湜死亡事件,萧半纯,连载,都市爱情,7815,35630,0
给我们一个机会吧,圆子,连载,都市爱情,8743,28807,0
幸好，风往北吹,允凡,连载,都市爱情,8641,25371,2
那不勒斯的天空,马西米利亚诺· 威尔吉利奥,完结,外国文学,8627,123165,30
轻轻留下你的身影,伍月,连载,都市甜宠,8608,24288,1
来，咬一口小甜饼,茉香奶绿,连载,青春校园,8514,7056,23
为你写本书,鹿白,连载,都市爱情,8514,16238,1
《莫离》,莫离,连载,古代言情,8506,8627,0
与子成说,简心归晨,连载,古代言情,8497,33651,3
草莓味的心事,清桉,连载,青春校园,8460,2784,23
薄暮染汐,南浅,连载,校园甜宠,8387,12496,12
倾尽一生，所幸是你,柒大大,连载,娱乐明星,8368,14913,2
瑾年遇君,瑾年微末,连载,古代言情,8333,35342,2
倒数七秒,五顺儿,完结,青春校园,8296,30199,11
时光遇见你,伤心的泪,连载,,8237,2053,2
良辰锦时,飞天小狗,连载,青春校园,8157,27159,0
医妃萌宝：娇妻在上请做主,王甜,完结,古代言情,8152,748176,4
你的喜欢与我有关,苏杭,连载,青春校园,8150,47379,1
与神比肩；十一殿的夜,壹落,连载,重生异能,8117,4379,8
唤,敬启颂安,连载,都市爱情,8101,21721,1
湾湾的溪,云有,连载,都市爱情,8101,53677,0
原味,葳蕤,连载,青春校园,9392,14004,46
淮生今梦,幸鹿,连载,宫斗宅斗,9378,10386,31
终有繁花开陌路,相若,连载,都市爱情,9325,34919,0
炸裂吧，青春！,扉初,连载,青春校园,9282,12552,70
九州山海录,伊雪枫叶,连载,仙侠神话,9257,46826,4
傲娇先生了解一下,蛐蛐的哥哥,连载,都市甜宠,9225,26981,14
农家医女锄作田,非我上河图,连载,种田经商,9150,11396,3
你本来就很美,艾海,连载,都市爱情,9134,70786,0
她的少年与往昔,道听途说,连载,青春校园,9115,16135,2
既白已初临,孙汝繁,连载,青春校园,9105,35727,0
云雀吁,什为为,连载,仙侠神话,9091,53046,1
放学别走,麻雀,连载,都市爱情,9060,9946,1
明珠岂蒙尘（又名无尽雪路）,枯试,连载,古代言情,8982,43642,12
当天使摘下面具,不哭的小猫,连载,青春校园,8980,29875,0
幸运,仓鼠兰,连载,青春校园,8937,35348,6
卿沐璃雪,我是心语,连载,总裁豪门,8937,36781,1
你是无意穿堂风上,小天狼星,连载,青春校园,8874,71334,0
大师兄，我来陪你,异情,连载,玄幻言情,8843,16799,5
星际小富婆,灵岁,连载,科幻未来,8804,18429,27
你和我的盛夏时光,叶茶茶,连载,青春校园,8760,24573,4
何以解忧,凡华,连载,青春校园,9963,44891,0
心事·初恋爱,黍荻,连载,青春校园,9927,178292,1
和孩子一起玩，是最好的陪伴,叶萱,完结,励志人生,9811,89753,6
双钗,林桑榆,连载,古代言情,9792,13317,12
那不勒斯的黎明,马西米利亚诺·威尔吉利奥 ,完结,外国文学,9774,153688,28
大圣，你老婆重生了,顾青沅,完结,娱乐明星,9629,496924,63
桑榆非晚,芣苢,连载,都市爱情,9600,9409,14
光阴少年,梦七七,连载,青春校园,9525,26872,5
情至深处不自知,亚雯,连载,都市爱情,9495,28961,9
单身狗之让我们相爱吧,谁家帅哥,连载,都市爱情,9402,18282,0
我吃了记忆面包,草帘,连载,青春校园,10143,19589,1
我的男神是锦鲤,君子简兮,完结,青春校园,10112,174527,11
没时间恋爱的肖先生,伍月,连载,都市爱情,10091,31684,1
妈，下辈子别再骗我了,诡语娜娜,完结,婚姻家庭,10062,18364,13
拂你肩上雪,简一,连载,青春校园,10044,43149,1
一切爱你如初,茶语澄子,连载,青春校园,10025,28115,1
山河依旧,暖宁,连载,古代言情,10019,23003,1
绝对宠妻，今生只被你吃定,伊小姐,连载,青春校园,10013,5517,1
被影帝老公送上热搜,巴达兽,连载,娱乐明星,9979,12228,34
你好 再见,hhe,连载,青春校园,9967,21028,1
谨以此生与你相伴,Sunny,连载,都市爱情,11867,32859,2
春江花月夜终章,多多,完结,古代言情,11784,255509,32
十六楼的烟花,尚源洁,连载,职场白领,11728,129928,1
冷先生他为何这样,甲乙丙丁,完结,职场白领,11719,93399,31
等风,长安十三期,连载,都市爱情,11716,6809,6
知南茶温暖顾北清歌寒,莫潋儿,连载,青春校园,11688,20297,3
桃花醉,yuans,连载,玄幻言情,11671,32307,1
该如何延续的爱情,不哭的小猫,连载,青春校园,11650,51877,0
Boss太帅怎么办,陶参参,连载,都市爱情,11571,37877,2
秦俑两千年,爱德华 · 伯曼,完结,外国文学,11487,175113,5
遇仙集,徒离忧,连载,玄幻言情,10532,32929,1
星动不止一点点,巨蟹座,完结,青春校园,10485,235672,30
可乐不加冰,GG,连载,青春校园,10424,15145,8
本·纪年,木子丫,连载,青春校园,10394,68582,14
我在古代上体校,扉初,连载,青春校园,10270,13294,12
再见 北上广深,谁家帅哥,连载,职场白领,10258,18233,0
他的小酥糖,陆鸠,连载,青春校园,10235,12367,9
公子，一起要饭吧,飞翔的泥鳅,连载,古代言情,10183,13172,19
沙雕直女的青春手帐,青筱,连载,青春校园,10178,26455,1
青春结,心镜,连载,青春校园,10175,12132,29
缘不知何起,乐渝,完结,时空穿越,12277,291537,4
河山依旧,若遇,连载,,12166,20115,5
地狱典当铺,鳌野樵夫,连载,玄幻言情,12163,39623,1
半寸农庄,盛林,完结,励志人生,12160,134548,9
朝朝暮楚,姜佑汐,连载,都市爱情,12137,133981,15
孤人不孤,我思故人,完结,古代言情,12099,210232,2
恋到最初是白头,青酒,连载,青春校园,12093,34612,11
同你长眠于此,问候家明,连载,玄幻言情,12091,19892,12
木都纪,一尾鱼,连载,玄幻言情,12022,29610,1
靳爷，你老婆又跑了！,灵·陌,连载,总裁豪门,11934,30135,1
我相信缘分相信你,南栀北橙,连载,都市爱情,10974,36000,1
念你朝与暮,桐叶落三千,连载,青春校园,10967,31983,56
公子帐中行,七爷,完结,玄幻言情,10912,238249,8
浮世清欢，岁月安好,慕容素衣,连载,励志人生,10882,123197,7
自有南风入梦来,舒景夜,连载,,10875,1879,0
见山是山见水是水，见你是全世界,大柠,完结,都市爱情,10865,71742,23
春庭雪,明欢不欢,连载,古代言情,10842,6826,1
毒妻涅槃，靳帝老婆A爆天,一来二去,连载,都市爱情,10781,27434,3
喜欢你是秘密,宋知寒,连载,青春校园,10732,13399,3
协议撒糖三十天,仙女桥,连载,都市爱情,10672,8857,12
风中的柳絮飘,苏子离陌,完结,都市爱情,12869,223101,68
高考进行时,笔沫丹华,连载,青春校园,12866,58738,0
野花盛放荆棘林,凌翎,连载,青春校园,12769,88441,1
美好的旅程,树某懒,连载,励志人生,12722,48126,5
在裂缝中寻找微光,牛皮明明,完结,励志人生,12716,90010,4
骄阳似火,倾莹,连载,青春校园,12685,16201,5
桑枝记,未由之阙,连载,古代言情,12664,30875,16
总裁老公超甜的,席久久,完结,都市爱情,12648,233712,7
整容之后我成了校花,犄角儿,连载,青春校园,12485,25680,33
胡蝶飞过仓海,香九菱,连载,都市爱情,12327,40662,3
想你在风起时,八十二月,完结,都市甜宠,11469,74253,18
爱定你了温暖王子,不哭的小猫,连载,青春校园,11399,28173,1
漫画里的秘密,落落雨,连载,青春校园,11312,330430,6
他是熠熠生辉的星辰,林姜殊,连载,都市爱情,11305,13182,1
光年之外的爱恋,香九菱,连载,科幻未来,11278,29060,3
而你在身边,鸡蛋羹,连载,青春校园,11270,17057,15
开心坏了,珍妮·罗森,完结,外国文学,11212,181719,13
那个精神病想娶我,查写写,完结,都市爱情,11106,218773,68
有风吹过的梦,营还是营,连载,都市爱情,11094,43907,3
以爱你的名义,小老头,完结,都市爱情,11035,56788,12
你是人间理想,大柠,连载,都市爱情,13436,135751,20
你是我的一口甜,曦曦去偷猪了,连载,都市爱情,13307,6641,0
我们无法再享有天真和浅薄,半岛璞,完结,励志人生,13263,110698,8
有一天我会回来,查写写,完结,奇幻空间,13214,214349,110
想恋你啊,棹鸟,连载,青春校园,13174,6281,0
蜀山奇侠传,忘忧草,连载,仙侠神话,13158,53138,0
执子之手，白头偕老,被忘记的猫,连载,都市爱情,13104,25186,23
只羡鸳鸯不羡仙,东海仙人,连载,仙侠神话,13046,99345,0
冥界奇案簿·暗夜花开,鹿之宠爱,连载,玄幻言情,13043,29156,3
这个暑假回到16岁,君兰喵,完结,都市爱情,13038,120604,2
浮生辞,一只小白出墙来,连载,古代言情,13848,17034,0
那些时光里的我们,宋安晚,完结,青春校园,13823,328555,32
爱的酸甜苦辣,伍月,连载,都市爱情,13822,97527,1
恁时相见早留心,折枝玫瑰,连载,都市甜宠,13663,55854,4
你好，糟糕小姐,伍月,连载,都市爱情,13653,75565,1
农家医女：拐个夫君赚点钱,木子雪烟,完结,时空穿越,13589,122441,36
半步莲,四海升平,连载,古代言情,13588,18817,25
换一种爱情吧,伍月,连载,都市爱情,13534,50007,1
玉树后庭花,瑾年微末,连载,古代言情,13492,1677,0
蜜谋已久，叶总娇妻不太乖,蜜桃雪山,连载,都市爱情,13449,37195,4
偏偏喜欢你,桃之夭夭,连载,都市爱情,14443,16398,98
你是我的小甜甜,车厘子,连载,青春校园,14429,17982,9
江少，你家夫人有点野,芥末海苔,连载,都市爱情,14364,80420,1
浮梦三世,玖漓,完结,古代言情,14354,231244,46
《惊艳》,XCY,连载,青春校园,14340,6714,54
我一见你就笑,个个攸,连载,都市爱情,14266,115749,37
当渣男成了糟糠之妻后,鹿祁,完结,都市爱情,14244,1108430,61
